ci,na,co,lo,la,z
Motul,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,21.09444427,-89.28360748,Mexico Standard Time
Mount Hagen,"(GMT+10:00) Guam, Port Moresby",Papua New Guinea,-5.864722252,144.2200012,West Pacific Standard Time
"Mount Shasta City, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,41.31000137,-122.3105545,Pacific Standard Time
"Mountain View, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.38333511,-122.0833359,Pacific Standard Time
Mudumalai,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,11.57638931,76.58305359,India Standard Time
Mukachevo,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,48.45000076,22.71666718,FLE Standard Time
Mumbai,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,18.93333244,72.84999847,India Standard Time
Munich,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,48.13333511,11.58333302,W. Europe Standard Time
Munnar,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,10.08472252,77.06138611,India Standard Time
Murmansk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,68.98332977,33.13333511,Russian Standard Time
Murom,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,55.56666565,42.01666641,Russian Standard Time
Murree,(GMT+05:00) Pakistan,Pakistan,33.90638733,73.39389038,Pakistan Standard Time
Muscat,"(GMT+04:00) Abu Dhabi, Muscat",Oman,23.60000038,58.58333206,Arabian Standard Time
"Myrtle Beach, SC",(GMT-05:00) Eastern Time (US & Canada),United States,33.69666672,-78.89416504,Eastern Standard Time
N'Djamena,(GMT+01:00) West Central Africa,Chad,12.10000038,15.05000019,W. Central Africa Standard Time
Nadiad,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,22.70000076,72.87000275,India Standard Time
Nagasaki,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,32.76666641,129.8666687,Tokyo Standard Time
Nagoya,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,35.15000153,136.9166718,Tokyo Standard Time
Nagpur,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,21.1558342,79.08916473,India Standard Time
Naha,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,26.20472145,127.6924973,Tokyo Standard Time
Nairobi,(GMT+03:00) Nairobi,Kenya,-1.283290029,36.81669617,E. Africa Standard Time
Nakhodka,(GMT+11:00) Vladivostok,Russia,42.81666565,132.8666687,Vladivostok Standard Time
"Nanaimo, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,49.16444397,-123.9366684,Pacific Standard Time
Nanjing,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,32.04999924,118.7833328,China Standard Time
Nantes,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,47.21666718,-1.566666722,Romance Standard Time
Napier,"(GMT+12:00) Auckland, Wellington",New Zealand,-39.50500107,176.8997192,New Zealand Standard Time
Naples,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,40.84000015,14.25277805,W. Europe Standard Time
Narvik,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,68.44999695,17.43333244,W. Europe Standard Time
"Nashville, TN",(GMT-06:00) Central Time (US & Canada),United States,36.16666794,-86.78333282,Central Standard Time
Nassau,(GMT-05:00) Eastern Time (US & Canada),Bahamas,25.06666756,-77.33333588,Eastern Standard Time
"Navasota, TX",(GMT-06:00) Central Time (US & Canada),United States,30.38333321,-96.08333588,Central Standard Time
Negombo,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,7.209444523,79.83416748,India Standard Time
Neuquen,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-38.95000076,-68.06666565,SA Eastern Standard Time
New Delhi,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,28.61666679,77.21670532,India Standard Time
"New Orleans, LA",(GMT-06:00) Central Time (US & Canada),United States,29.9533329,-90.0688858,Central Standard Time
New Ross,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,52.40000153,-6.949999809,GMT Standard Time
"New Westminster, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,49.20360947,-122.9147186,Pacific Standard Time
"New York, NY",(GMT-05:00) Eastern Time (US & Canada),United States,40.73333359,-73.91638947,Eastern Standard Time
"Newark, NJ",(GMT-05:00) Eastern Time (US & Canada),United States,40.73555374,-74.17250061,Eastern Standard Time
Newcastle,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-32.92638779,151.7811127,AUS Eastern Standard Time
Newcastle upon Tyne,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,54.97583389,-1.610277772,GMT Standard Time
Newport,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.59999847,-2.983333349,GMT Standard Time
"Niagara Falls, NY",(GMT-05:00) Eastern Time (US & Canada),United States,43.09999847,-79.05000305,Eastern Standard Time
"Niagara Falls, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.09999847,-79.09999847,Eastern Standard Time
Niamey,(GMT+01:00) West Central Africa,Niger,13.51666641,2.116666555,W. Central Africa Standard Time
Nice,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.70000076,7.266666889,Romance Standard Time
Nicosia,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Cyprus,35.16666794,33.36666489,FLE Standard Time
Niigata,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,37.91666794,139.0500031,Tokyo Standard Time
Nikolaev,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,46.96666718,32.01666641,FLE Standard Time
Nimes,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.84999847,4.349999905,Romance Standard Time
Ningbo,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,29.86833382,121.5438919,China Standard Time
Nizhniy Novgorod,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.28333282,43.93333435,Russian Standard Time
Nogales,(GMT-07:00) Arizona,Mexico,31.33083344,-110.944725,US Mountain Standard Time
"Nome, AK",(GMT-09:00) Alaska,United States,64.53305817,-164.6000061,Alaskan Standard Time
"Norfolk, VA",(GMT-05:00) Eastern Time (US & Canada),United States,36.84999847,-76.28333282,Eastern Standard Time
"North Bay, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,46.31916809,-79.43416595,Eastern Standard Time
"North Bend, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,43.40638733,-124.2244415,Pacific Standard Time
North Ryde,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-33.79666519,151.1244507,AUS Eastern Standard Time
Norwich,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,52.65000153,1.283333302,GMT Standard Time
Nouakchott,(GMT) Greenwich Mean Time,Mauritania,18.08333397,-15.98333359,Greenwich Standard Time
Noumea,"(GMT+11:00) Solomon Is., New Caledonia",New Caledonia,-22.26666641,166.4499969,Central Pacific Standard Time
Novgorod,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,58.54999924,31.28333282,Russian Standard Time
Novorossiysk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,44.71666718,37.78333282,Russian Standard Time
Novosibirsk,(GMT+07:00) Novosibirsk,Russia,55.04110718,82.91666412,Novosibirsk Standard Time
Nuevo Laredo,(GMT-06:00) Central Time (US & Canada),Mexico,27.48111153,-99.5605545,Central Standard Time
Nuku'alofa,(GMT+13:00) Nuku'alofa,Tonga,-21.01666641,-174,Tonga Standard Time
Nurnberg,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,49.45000076,11.0666666,W. Europe Standard Time
Nuuk,(GMT-03:00) Greenland,Greenland,64.18333435,-51.71666718,Greenland Standard Time
Odense,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Denmark,55.39638901,10.3908329,Romance Standard Time
Odessa,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,46.46666718,30.71666718,FLE Standard Time
Ohrid,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Macedonia,41.12166595,20.81944466,Central European Standard Time
Ojinaga,(GMT-06:00) Central Time (US & Canada),Mexico,29.55583382,-104.417778,Central Standard Time
Okara,(GMT+05:00) Pakistan,Pakistan,30.80138969,73.44833374,Pakistan Standard Time
Okha,(GMT+11:00) Vladivostok,Russia,53.58333206,142.9333344,Vladivostok Standard Time
Okhotsk,(GMT+11:00) Vladivostok,Russia,59.34999847,143.1999969,Vladivostok Standard Time
Okinawa,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,26.33888817,127.8155518,Tokyo Standard Time
"Oklahoma City, OK",(GMT-06:00) Central Time (US & Canada),United States,35.46666718,-97.51667023,Central Standard Time
Olanchito,(GMT-06:00) Central America,Honduras,15.48333359,-86.56639099,Central America Standard Time
Olinda,"(GMT-03:00) Georgetown, South America Eastern Time",Brazil,-8,-34.84999847,SA Eastern Standard Time
"Olympia, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.04499817,-122.9016647,Pacific Standard Time
"Omaha, NE",(GMT-06:00) Central Time (US & Canada),United States,41.25972366,-95.9422226,Central Standard Time
Omsk,(GMT+07:00) Novosibirsk,Russia,55.06666565,73.25,Novosibirsk Standard Time
Onitsha,(GMT+01:00) West Central Africa,Nigeria,6.166666508,6.783333302,W. Central Africa Standard Time
Ootacamund,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,11.41166687,76.69472504,India Standard Time
Oradea,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,47.04999924,21.93333244,FLE Standard Time
Orange,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-33.2836113,149.1000061,AUS Eastern Standard Time
Oranjestad,(GMT-04:00) La Paz,Aruba,12.52444458,-70.02639008,SA Western Standard Time
"Orlando, FL",(GMT-05:00) Eastern Time (US & Canada),United States,28.53305626,-81.38305664,Eastern Standard Time
Osaka,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,34.66670227,135.5,Tokyo Standard Time
"Oshawa, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.88999939,-78.86000061,Eastern Standard Time
Oslo,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,59.93333435,10.6833334,W. Europe Standard Time
Ostrov,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,57.34999847,28.31666756,Russian Standard Time
"Ottawa, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,45.42361069,-75.69805908,Eastern Standard Time
Ouagadougou,(GMT) Greenwich Mean Time,Burkina Faso,12.36666679,-1.533333302,Greenwich Standard Time
Oulu,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Finland,65.01667023,25.46666718,FLE Standard Time
Oviedo,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,43.36666489,-5.849999905,Romance Standard Time
Padang,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,-0.949999988,100.3499985,SE Asia Standard Time
Palembang,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,-2.983333349,104.75,SE Asia Standard Time
Palikir,"(GMT+11:00) Solomon Is., New Caledonia","Micronesia, Federated States of",6.916666508,158.1833344,Central Pacific Standard Time
Palma,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,39.59999847,2.650000095,Romance Standard Time
"Palo Alto, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.45000076,-122.1500015,Pacific Standard Time
Panaji,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,15.49222183,73.81833649,India Standard Time
Panama City,"(GMT-05:00) Bogota, Lima, Quito",Panama,8.94972229,-78.5,SA Pacific Standard Time
Papeete,(GMT-10:00) Hawaii,French Polynesia,-17.53333282,-149.5666656,Hawaiian Standard Time
Paramaribo,"(GMT-03:00) Georgetown, South America Eastern Time",Suriname,5.816666603,-55.16666794,SA Eastern Standard Time
Paraparaumu,"(GMT+12:00) Auckland, Wellington",New Zealand,-40.91361237,175.0088959,New Zealand Standard Time
Paris,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,48.86669922,2.333297729,Romance Standard Time
"Parsippany, NJ",(GMT-05:00) Eastern Time (US & Canada),United States,40.85777664,-74.42694092,Eastern Standard Time
Patna,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,25.61388969,85.13527679,India Standard Time
Patras,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,38.25361252,21.73638916,FLE Standard Time
"Pearl, MS",(GMT-06:00) Central Time (US & Canada),United States,32.27444458,-90.13194275,Central Standard Time
Pedro Juan Caballero,(GMT-04:00) Paraguay,Paraguay,-22.53333282,-55.75,Paraguay Standard Time
"Pensacola, FL",(GMT-06:00) Central Time (US & Canada),United States,30.4738884,-87.21221924,Central Standard Time
Penza,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,53.20000076,45,Russian Standard Time
Perm,(GMT+06:00) Ekaterinburg,Russia,58,56.25,Ekaterinburg Standard Time
Perth,(GMT+08:00) Perth,Australia,-31.96666718,115.8166656,W. Australia Standard Time
Peshawar,(GMT+05:00) Pakistan,Pakistan,34.00416565,71.54472351,Pakistan Standard Time
Peterhof,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,59.86666489,29.91666603,Russian Standard Time
Petropavlovsk,(GMT+12:00) Magadan,Russia,53.01638794,158.6497192,Magadan Standard Time
Petropolis,(GMT-03:00) Brasilia,Brazil,-22.5047226,-43.18222046,E. South America Standard Time
"Philadelphia, PA",(GMT-05:00) Eastern Time (US & Canada),United States,39.95166779,-75.16388702,Eastern Standard Time
Philipsburg,(GMT-04:00) La Paz,Sint Maarten,18.02916718,-63.04750061,SA Western Standard Time
Phnom Penh,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Cambodia,11.5666666,104.9166641,SE Asia Standard Time
"Phoenix, AZ",(GMT-07:00) Arizona,United States,33.45000076,-112.066391,US Mountain Standard Time
Phuket,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,7.883333206,98.3833313,SE Asia Standard Time
"Pickering, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.83805466,-79.08361053,Eastern Standard Time
Piedras Negras,(GMT-06:00) Central Time (US & Canada),Mexico,28.6977787,-100.5247192,Central Standard Time
"Pierre, SD",(GMT-06:00) Central Time (US & Canada),United States,44.37749863,-100.3177795,Central Standard Time
Piestany,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Slovakia,48.59999847,17.81666756,Central Europe Standard Time
Pirot,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Serbia,43.16638947,22.60138893,Central Europe Standard Time
Pisa,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,43.71611023,10.39666653,W. Europe Standard Time
"Pittsburgh, PA",(GMT-05:00) Eastern Time (US & Canada),United States,40.4383316,-80.0019455,Eastern Standard Time
Piura,"(GMT-05:00) Bogota, Lima, Quito",Peru,-5.193611145,-80.62472534,SA Pacific Standard Time
Playa del Carmen,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,20.62861061,-87.07971954,Mexico Standard Time
Plymouth,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,50.40000153,-4.166666508,GMT Standard Time
Podgorica,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Montenegro,42.44250107,19.26861191,Central Europe Standard Time
"Point Pleasant Beach, NJ",(GMT-05:00) Eastern Time (US & Canada),United States,40.09166718,-74.04972076,Eastern Standard Time
Polonnaruwa,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,7.932777882,81.00805664,India Standard Time
Pomalaa,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-4.053333282,121.5958328,Singapore Standard Time
Ponta Delgada,(GMT-01:00) Azores,Portugal,37.75,-25.66666603,Azores Standard Time
Porbandar,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,21.64333344,69.61194611,India Standard Time
Porirua,"(GMT+12:00) Auckland, Wellington",New Zealand,-41.13416672,174.8413849,New Zealand Standard Time
"Port Angeles, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,48.11583328,-123.4608307,Pacific Standard Time
Port Arthur,(GMT+10:00) Hobart,Australia,-43.15000153,147.8500061,Tasmania Standard Time
Port Elizabeth,"(GMT+02:00) Harare, Pretoria",South Africa,-33.96666718,25.58333397,South Africa Standard Time
Port Harcourt,(GMT+01:00) West Central Africa,Nigeria,4.716666698,7,W. Central Africa Standard Time
Port Hedland,(GMT+08:00) Perth,Australia,-20.31666756,118.5999985,W. Australia Standard Time
Port Louis,(GMT+04:00) Mauritius,Mauritius,-20.16194534,57.49888992,Mauritius Standard Time
Port Moresby,"(GMT+10:00) Guam, Port Moresby",Papua New Guinea,-9.464706421,147.1925049,West Pacific Standard Time
"Port Orange, FL",(GMT-05:00) Eastern Time (US & Canada),United States,29.13333321,-81,Eastern Standard Time
Port Vila,"(GMT+11:00) Solomon Is., New Caledonia",Vanuatu,-17.73333359,168.3166656,Central Pacific Standard Time
Port of Spain,(GMT-04:00) La Paz,Trinidad and Tobago,10.66666698,-61.5,SA Western Standard Time
Port-au-Prince,"(GMT-05:00) Bogota, Lima, Quito",Haiti,18.53305626,-72.33333588,SA Pacific Standard Time
"Portland, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,45.5233345,-122.6699982,Pacific Standard Time
Porto,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,41.16666794,-8.583333015,GMT Standard Time
Porto Alegre,(GMT-03:00) Brasilia,Brazil,-30.03333282,-51.20000076,E. South America Standard Time
Porto Novo,(GMT+01:00) West Central Africa,Benin,6.483333111,2.633333445,W. Central Africa Standard Time
Portsmouth,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,50.81666565,-1.083333373,GMT Standard Time
Posadas,(GMT-03:00) Argentina,Argentina,-27.39972305,-55.90000153,Argentina Standard Time
Prague,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Czech Republic,50.08333206,14.4333334,Central Europe Standard Time
Praia,(GMT-01:00) Cape Verde Is.,Cape Verde,14.91666698,-23.51666641,Cape Verde Standard Time
Prievidza,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Slovakia,48.77083206,18.62083244,Central Europe Standard Time
"Prince George, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,53.91722107,-122.7497253,Pacific Standard Time
"Princeton, NJ",(GMT-05:00) Eastern Time (US & Canada),United States,40.34972382,-74.65972137,Eastern Standard Time
Pristina,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Kosovo,42.67416763,21.17888832,Central Europe Standard Time
Progreso,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,21.28000069,-89.66999817,Mexico Standard Time
Pskov,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,57.81666565,28.35000038,Russian Standard Time
Puebla,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,19.04999924,-98.16666412,Mexico Standard Time
Puerto Ayora,(GMT-06:00) Central America,Ecuador,-0.745277762,-90.31361389,Central America Standard Time
Puerto Baquerizo Moreno,(GMT-06:00) Central America,Ecuador,-0.901388884,-89.61055756,Central America Standard Time
Puerto Penasco,(GMT-07:00) Arizona,Mexico,31.31805611,-113.5366669,US Mountain Standard Time
Puerto Plata,(GMT-04:00) La Paz,Dominican Republic,19.7966671,-70.69249725,SA Western Standard Time
Puerto Vallarta,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,20.65083313,-105.2152786,Mexico Standard Time
Pune,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,18.53333282,73.8666687,India Standard Time
Puri,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,19.79916573,85.82499695,India Standard Time
Puttgarden,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,54.49611282,11.21249962,W. Europe Standard Time
Pyongyang,"(GMT+09:00) Osaka, Sapporo, Tokyo","Korea, North",39,125.7833328,Tokyo Standard Time
Qatif,"(GMT+03:00) Kuwait, Riyadh",Saudi Arabia,26.66666603,49.96222305,Arab Standard Time
Qingdao,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,36.08333206,120.3333359,China Standard Time
"Quartzsite, AZ",(GMT-07:00) Arizona,United States,33.66388702,-114.2300034,US Mountain Standard Time
"Quebec City, QC",(GMT-05:00) Eastern Time (US & Canada),Canada,46.8125,-71.21472168,Eastern Standard Time
Quetta,(GMT+05:00) Pakistan,Pakistan,30.20999908,67.02249908,Pakistan Standard Time
Quezaltenango,(GMT-06:00) Guatemala,Guatemala,14.83333302,-91.51667023,Guatemala Standard Time
Quito,"(GMT-05:00) Bogota, Lima, Quito",Ecuador,-0.216705322,-78.5,SA Pacific Standard Time
Rabat,(GMT) Morocco,Morocco,34.03305435,-5.150000095,Morocco Standard Time
Rahim Yar Khan,(GMT+05:00) Pakistan,Pakistan,28.41666603,70.29972076,Pakistan Standard Time
Rajahmundry,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,17.0102787,81.78778076,India Standard Time
"Raleigh, NC",(GMT-05:00) Eastern Time (US & Canada),United States,35.77972412,-78.64333344,Eastern Standard Time
Ramstein,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,49.45000076,7.550000191,W. Europe Standard Time
Ranchi,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,23.35861206,85.33388519,India Standard Time
Rangoon,(GMT+06:30) Rangoon,Burma,16.78333282,96.16666412,Myanmar Standard Time
Ras Al Khaimah,"(GMT+04:00) Abu Dhabi, Muscat",United Arab Emirates,25.78861046,55.94444275,Arabian Standard Time
Rawson,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-43.29999924,-65.10028076,SA Eastern Standard Time
Reading,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.45500183,-0.969166696,GMT Standard Time
Recife,"(GMT-03:00) Georgetown, South America Eastern Time",Brazil,-8.054166794,-34.8758316,SA Eastern Standard Time
"Red Deer, AB",(GMT-07:00) Mountain Time (US & Canada),Canada,52.26805496,-113.8111115,Mountain Standard Time
"Redmond, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.66666794,-122.1166687,Pacific Standard Time
"Regina, SK",(GMT-06:00) Saskatchewan,Canada,50.44722366,-104.6180573,Canada Central Standard Time
Reims,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,49.23333359,4.033333302,Romance Standard Time
Rennes,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,48.11666489,-1.683333278,Romance Standard Time
"Reno, NV",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,39.53027725,-119.8144455,Pacific Standard Time
"Revelstoke, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,50.99694443,-118.1977768,Pacific Standard Time
Reykjavik,(GMT) Greenwich Mean Time,Iceland,64.15000153,-20.03333282,Greenwich Standard Time
Reynosa,(GMT-06:00) Central Time (US & Canada),Mexico,26.06666756,-98.28305817,Central Standard Time
Rhodes,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,36.43361282,28.21999931,FLE Standard Time
"Richmond, IN",(GMT-05:00) Eastern Time (US & Canada),United States,39.82888794,-84.89027405,Eastern Standard Time
"Richmond, VA",(GMT-05:00) Eastern Time (US & Canada),United States,37.55361176,-77.46055603,Eastern Standard Time
Riga,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Latvia,56.94998932,24.10000038,FLE Standard Time
Rio Branco,(GMT-04:00) La Paz,Brazil,-9.973889351,-67.80750275,SA Western Standard Time
Rio Cuarto,(GMT-03:00) Argentina,Argentina,-33.12805557,-64.35472107,Argentina Standard Time
Rio Gallegos,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-51.61639023,-69.23305511,SA Eastern Standard Time
"Rio Rancho, NM",(GMT-07:00) Mountain Time (US & Canada),United States,35.28610992,-106.6705551,Mountain Standard Time
Rio de Janeiro,(GMT-03:00) Brasilia,Brazil,-22.90361023,-43.20944595,E. South America Standard Time
Rivera,(GMT-03:00) Uruguay,Uruguay,-30.89999962,-55.54999924,Uruguay Standard Time
"Riverton, UT",(GMT-07:00) Mountain Time (US & Canada),United States,40.52222061,-111.9388885,Mountain Standard Time
Riyadh,"(GMT+03:00) Kuwait, Riyadh",Saudi Arabia,24.63333321,46.71666718,Arab Standard Time
Road Town,(GMT-04:00) La Paz,"Virgin Islands, British",18.43333244,-64.6166687,SA Western Standard Time
Rodby,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Denmark,54.69583511,11.38611126,W. Europe Standard Time
Rome,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,41.89999008,12.48333359,W. Europe Standard Time
Rosario,(GMT-03:00) Argentina,Argentina,-32.93333435,-60.66666794,Argentina Standard Time
Roseau,(GMT-04:00) La Paz,Dominica,15.30000019,-61.38333511,SA Western Standard Time
Rostock,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,54.09999847,12.08333302,W. Europe Standard Time
Rostov na Donu,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,47.23333359,39.68333435,Russian Standard Time
Rotterdam,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,51.91666794,4.483333111,W. Europe Standard Time
"Russell Springs, KY",(GMT-06:00) Central Time (US & Canada),United States,37.05611038,-85.07194519,Central Standard Time
Ryazan,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,54.59999847,39.70000076,Russian Standard Time
Rybinsk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,58.04999924,38.81666565,Russian Standard Time
"Sacramento, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,38.57361221,-121.4872208,Pacific Standard Time
Saint George's,(GMT-04:00) La Paz,Grenada,12.05000019,-61.75,SA Western Standard Time
"Saint John, NB",(GMT-04:00) Atlantic Time (Canada),Canada,45.27305603,-66.0633316,Atlantic Standard Time
Saint-Denis,"(GMT+04:00) Abu Dhabi, Muscat",Reunion,-20.88333321,55.45000076,Arabian Standard Time
Saint-Pierre,(GMT-03:00) St Pierre and Miquelon,Saint Pierre and Miquelon,46.78305435,-56.18333435,St Pierre and Miquelon Standard Time
Saipan,"(GMT+10:00) Guam, Port Moresby",Northern Mariana Islands,15.1833334,145.75,West Pacific Standard Time
"Salem, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,44.93694305,-123.0272217,Pacific Standard Time
"Salt Lake City, UT",(GMT-07:00) Mountain Time (US & Canada),United States,40.77166748,-111.8880539,Mountain Standard Time
Salta,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-24.7891674,-65.40805817,SA Eastern Standard Time
